restaurant_name,city,cuisines,avg_cost_for_two,price_range,rating,votes,online_delivery,table_booking,city_clean,state_clean,population,city_tier
Kolkata Biryani House,New Delhi,"North Indian, Mughlai, Biryani",500,2,3.4,404,Yes,No,delhi,delhi,9879172.0,Tier 1
Kolkata Hot Kathi Roll,New Delhi,Fast Food,150,1,3.2,35,No,No,delhi,delhi,9879172.0,Tier 1
Madly Bangalee,New Delhi,"Mughlai, North Indian, Bengali, Continental",400,1,2.7,135,No,No,delhi,delhi,9879172.0,Tier 1
Oh! China,New Delhi,"Chinese, Thai",600,2,2.9,16,Yes,No,delhi,delhi,9879172.0,Tier 1
Punjabi Zaika,New Delhi,"Chinese, Mughlai, North Indian",500,2,2.9,39,Yes,No,delhi,delhi,9879172.0,Tier 1
Rabi Snacks Corner,New Delhi,Fast Food,300,1,3.4,18,No,No,delhi,delhi,9879172.0,Tier 1
Republic of Chicken,New Delhi,"Raw Meats, Fast Food",400,1,2.7,29,No,No,delhi,delhi,9879172.0,Tier 1
Roll n Roast,New Delhi,"North Indian, Chinese",250,1,3.3,27,No,No,delhi,delhi,9879172.0,Tier 1
Roller's High,New Delhi,"North Indian, Mughlai",500,2,3.2,13,No,No,delhi,delhi,9879172.0,Tier 1
Royal Chick 'N',New Delhi,"Mughlai, North Indian, Chinese",300,1,3.3,18,Yes,No,delhi,delhi,9879172.0,Tier 1
Royal Kolkata Biryani,New Delhi,"North Indian, Chinese, Biryani",500,2,2.7,14,No,No,delhi,delhi,9879172.0,Tier 1
Sameer's Restaurant,New Delhi,"North Indian, Mughlai, Chinese",600,2,2.5,59,Yes,No,delhi,delhi,9879172.0,Tier 1
Sanjha Chulha,New Delhi,"North Indian, Mughlai",550,2,2.7,70,No,No,delhi,delhi,9879172.0,Tier 1
Shepherd's,New Delhi,Fast Food,250,1,3.1,9,No,No,delhi,delhi,9879172.0,Tier 1
Soya King,New Delhi,North Indian,350,1,2.6,71,Yes,No,delhi,delhi,9879172.0,Tier 1
Tasty Tonight,New Delhi,"North Indian, Mughlai, Chinese",1000,3,3.1,5,No,No,delhi,delhi,9879172.0,Tier 1
The Mustard,New Delhi,Bengali,500,2,2.9,7,Yes,No,delhi,delhi,9879172.0,Tier 1
Tibb's Frankie,New Delhi,Fast Food,250,1,3.2,16,No,No,delhi,delhi,9879172.0,Tier 1
Wazwaan Restaurant,New Delhi,"North Indian, Kashmiri",1200,3,3.2,14,No,Yes,delhi,delhi,9879172.0,Tier 1
Yummi Kolkataa,New Delhi,Mithai,150,1,3.2,17,No,No,delhi,delhi,9879172.0,Tier 1
Annapurna Sweet House,New Delhi,"Mithai, Street Food",150,1,3.7,55,No,No,delhi,delhi,9879172.0,Tier 1
Ashirbad,New Delhi,Fast Food,100,1,3.6,46,No,No,delhi,delhi,9879172.0,Tier 1
Chocolatiers - The Chocolate Boutique,New Delhi,Desserts,100,1,3.8,112,Yes,No,delhi,delhi,9879172.0,Tier 1
Dadu Cutlet Shop,New Delhi,Fast Food,100,1,3.7,99,No,No,delhi,delhi,9879172.0,Tier 1
Dogs & Wiches,New Delhi,"Continental, American, Fast Food",600,2,3.9,109,Yes,No,delhi,delhi,9879172.0,Tier 1
Maa Tara,New Delhi,"Bengali, North Indian",500,2,3.6,458,Yes,No,delhi,delhi,9879172.0,Tier 1
My Spice Kitchen,New Delhi,"North Indian, Mughlai, Biryani, Bengali",650,2,3.5,443,Yes,No,delhi,delhi,9879172.0,Tier 1
The Singing Tree,New Delhi,Beverages,100,1,3.7,33,No,No,delhi,delhi,9879172.0,Tier 1
Baba Chicken Ludhiana Wale,New Delhi,North Indian,400,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Bengal Snacks,New Delhi,Fast Food,300,1,0.0,2,No,No,delhi,delhi,9879172.0,Tier 1
Brownies & More,New Delhi,"Bakery, Fast Food",100,1,0.0,2,No,No,delhi,delhi,9879172.0,Tier 1
Cafe Coffee Day,New Delhi,Cafe,450,1,0.0,1,No,No,delhi,delhi,9879172.0,Tier 1
Craving Cure,New Delhi,Chinese,300,1,0.0,2,No,No,delhi,delhi,9879172.0,Tier 1
Cuisine,New Delhi,"North Indian, Mughlai, Chinese",1500,3,0.0,1,No,Yes,delhi,delhi,9879172.0,Tier 1
Food Nation,New Delhi,"North Indian, Chinese",400,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Kamala Fast Food & Chinese,New Delhi,"Fast Food, Chinese",300,1,0.0,2,No,No,delhi,delhi,9879172.0,Tier 1
Lokenath Sweets,New Delhi,Mithai,150,1,0.0,2,No,No,delhi,delhi,9879172.0,Tier 1
Me and My Cake,New Delhi,"Bakery, Desserts",500,2,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Chulha Punjabi Da,New Delhi,"North Indian, Chinese, Fast Food",600,2,2.4,41,Yes,No,delhi,delhi,9879172.0,Tier 1
Viva Hyderabad,New Delhi,"Biryani, North Indian",600,2,2.3,38,Yes,No,delhi,delhi,9879172.0,Tier 1
Metro Grill,New Delhi,"North Indian, Mughlai, Chinese",1200,3,3.4,134,No,Yes,delhi,delhi,9879172.0,Tier 1
Cafe Cruise,New Delhi,"Continental, North Indian, Chinese",1300,3,2.8,153,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Etal The Lounge Bar,New Delhi,"North Indian, Italian, Fast Food",2000,4,3.2,455,No,Yes,delhi,delhi,9879172.0,Tier 1
"Game of Legends - Sports Bar, Grill, & Lounge",New Delhi,"North Indian, Chinese, Continental, Italian",1450,3,3.5,609,No,Yes,delhi,delhi,9879172.0,Tier 1
Al-raaya,New Delhi,"Mughlai, North Indian",600,2,3.1,6,Yes,No,delhi,delhi,9879172.0,Tier 1
Authentique Bites,New Delhi,"Bakery, Desserts",300,1,3.2,17,No,No,delhi,delhi,9879172.0,Tier 1
Embassy,New Delhi,"Chinese, North Indian, Mughlai",1200,3,3.0,126,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Narang's Bake 'n' Cake,New Delhi,"Bakery, Desserts, Fast Food",400,1,3.0,4,No,No,delhi,delhi,9879172.0,Tier 1
New Darvesh,New Delhi,"Chinese, South Indian",150,1,3.0,14,No,No,delhi,delhi,9879172.0,Tier 1
1UP,New Delhi,"Cafe, Italian, Continental",1200,3,3.5,282,No,Yes,delhi,delhi,9879172.0,Tier 1
Gujarati Samaj Santushti,New Delhi,Gujarati,300,1,3.6,95,No,No,delhi,delhi,9879172.0,Tier 1
Hind Bakery & Chinese Fast Food,New Delhi,Fast Food,150,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Hot Pot,New Delhi,Chinese,150,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Punjabi Flavour,New Delhi,North Indian,100,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Saras Fast Food Feast,New Delhi,"North Indian, South Indian",300,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
Shama Chicken Corner,New Delhi,"Biryani, Mughlai",300,1,0.0,0,No,No,delhi,delhi,9879172.0,Tier 1
The Night Owl,New Delhi,Chinese,450,1,0.0,1,No,No,delhi,delhi,9879172.0,Tier 1
Wimpy Sweets And Confectioners,New Delhi,"Bakery, Mithai",150,1,0.0,1,No,No,delhi,delhi,9879172.0,Tier 1
Boa Village,New Delhi,"Chinese, Japanese, Korean, Asian",1500,3,4.0,225,No,Yes,delhi,delhi,9879172.0,Tier 1
Anand Ji Restaurant,New Delhi,"Chinese, North Indian, Street Food",400,1,3.1,28,No,No,delhi,delhi,9879172.0,Tier 1
Baskin Robbins,New Delhi,Ice Cream,300,1,3.3,38,Yes,No,delhi,delhi,9879172.0,Tier 1
Bhoj Restaurant,New Delhi,"North Indian, Mughlai",600,2,2.8,54,No,No,delhi,delhi,9879172.0,Tier 1
Brijwasi Restaurant,New Delhi,"North Indian, Chinese",400,1,2.8,32,No,No,delhi,delhi,9879172.0,Tier 1
Cafe Coffee Day - The Lounge,New Delhi,Cafe,750,2,3.2,42,No,No,delhi,delhi,9879172.0,Tier 1
Cafe Coffee Day,New Delhi,Cafe,450,1,2.9,10,No,No,delhi,delhi,9879172.0,Tier 1
Chaat Tadka,New Delhi,"North Indian, Street Food, Mithai",300,1,2.8,27,No,No,delhi,delhi,9879172.0,Tier 1
Chawla's Unique Chicken Corner,New Delhi,"North Indian, Mughlai",600,2,3.2,35,Yes,No,delhi,delhi,9879172.0,Tier 1
Dawat Khana,New Delhi,"North Indian, Mughlai, Chinese",1600,3,2.5,82,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Eat n Joy,New Delhi,"North Indian, Mughlai",500,2,3.2,24,No,No,delhi,delhi,9879172.0,Tier 1
Khan Chicken Biryani,New Delhi,North Indian,500,2,2.9,14,No,No,delhi,delhi,9879172.0,Tier 1
Kolkata Roll,New Delhi,Fast Food,200,1,2.8,16,No,No,delhi,delhi,9879172.0,Tier 1
R. Ahmad Food,New Delhi,North Indian,450,1,3.0,11,No,No,delhi,delhi,9879172.0,Tier 1
Sab Ke Khatir,New Delhi,"North Indian, Mughlai",600,2,3.1,14,No,No,delhi,delhi,9879172.0,Tier 1
Bon Bon Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",150,1,3.5,91,No,No,delhi,delhi,9879172.0,Tier 1
Moksha,New Delhi,North Indian,1400,3,3.7,110,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Pebble Street,New Delhi,"Italian, Tex-Mex, Continental, North Indian",2400,4,3.9,886,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Kebab Gallery,New Delhi,"North Indian, Lucknowi",400,1,0.0,3,No,No,delhi,delhi,9879172.0,Tier 1
Amber,New Delhi,"North Indian, Chinese, Mughlai",1800,3,2.6,152,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Attitude Kitchen & Bar,New Delhi,"North Indian, Continental, Italian",1300,3,2.9,140,No,Yes,delhi,delhi,9879172.0,Tier 1
Cafe Coffee Day,New Delhi,Cafe,450,1,3.4,277,Yes,No,delhi,delhi,9879172.0,Tier 1
Castle 9,New Delhi,"Finger Food, Continental, North Indian, Chinese",1350,3,3.1,1099,No,Yes,delhi,delhi,9879172.0,Tier 1
Costa Coffee,New Delhi,Cafe,600,2,3.4,76,No,No,delhi,delhi,9879172.0,Tier 1
Delhi Darbar Dhaba,New Delhi,"North Indian, Chinese",400,1,3.2,89,Yes,No,delhi,delhi,9879172.0,Tier 1
Garam Dharam,New Delhi,North Indian,1300,3,3.4,1523,Yes,No,delhi,delhi,9879172.0,Tier 1
Gola Sizzlers,New Delhi,"Chinese, North Indian, Mughlai, Continental",1600,3,3.0,671,Yes,No,delhi,delhi,9879172.0,Tier 1
Indian Coffee House,New Delhi,Fast Food,200,1,3.3,1300,No,No,delhi,delhi,9879172.0,Tier 1
My Bar Lounge & Restaurant,New Delhi,"North Indian, Chinese, Italian, Continental",1000,3,2.7,2460,No,No,delhi,delhi,9879172.0,Tier 1
My Bar Square,New Delhi,"North Indian, Chinese, Italian, Continental",1000,3,2.5,1096,No,No,delhi,delhi,9879172.0,Tier 1
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",600,2,3.4,499,Yes,No,delhi,delhi,9879172.0,Tier 1
The Immigrant Cafe,New Delhi,"North Indian, Italian, Continental",1100,3,3.2,563,No,Yes,delhi,delhi,9879172.0,Tier 1
MOB Brewpub,New Delhi,"Continental, Italian, Asian, Indian",1500,3,4.7,52,No,No,delhi,delhi,9879172.0,Tier 1
Naturals Ice Cream,New Delhi,Ice Cream,150,1,4.9,2620,Yes,No,delhi,delhi,9879172.0,Tier 1
Zabardast Indian Kitchen,New Delhi,North Indian,1800,3,4.7,242,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Anand Restaurant,New Delhi,North Indian,550,2,3.6,485,No,No,delhi,delhi,9879172.0,Tier 1
Berco's,New Delhi,"Chinese, Thai",1100,3,3.9,2639,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Blues,New Delhi,"Continental, Mexican, American, Italian, North Indian",1100,3,3.7,706,No,No,delhi,delhi,9879172.0,Tier 1
Burger King,New Delhi,"Burger, Fast Food",500,2,3.8,2093,Yes,No,delhi,delhi,9879172.0,Tier 1
Burger Singh,New Delhi,"Burger, Juices, Finger Food",500,2,3.6,548,Yes,No,delhi,delhi,9879172.0,Tier 1
Cafe Coffee Day The Square,New Delhi,Cafe,700,2,3.6,361,No,No,delhi,delhi,9879172.0,Tier 1
Cafe Dalal Street,New Delhi,"North Indian, European",1500,3,3.7,873,Yes,No,delhi,delhi,9879172.0,Tier 1
Cafe Hawkers,New Delhi,"Chinese, Continental, North Indian",1200,3,3.7,673,No,Yes,delhi,delhi,9879172.0,Tier 1
Cafe Public Connection,New Delhi,"North Indian, Continental, Italian",1200,3,3.7,834,No,Yes,delhi,delhi,9879172.0,Tier 1
Cafí© MRP,New Delhi,"North Indian, Chinese, Italian, Mediterranean",800,2,3.6,877,No,No,delhi,delhi,9879172.0,Tier 1
Caffe Tonino,New Delhi,"Pizza, Italian, Cafe",1400,3,3.9,1503,Yes,No,delhi,delhi,9879172.0,Tier 1
Cha Bar,New Delhi,Cafe,500,2,3.9,3206,No,No,delhi,delhi,9879172.0,Tier 1
Chaayos,New Delhi,"Cafe, Tea",400,1,3.9,487,Yes,No,delhi,delhi,9879172.0,Tier 1
Chew - Pan Asian Cafe,New Delhi,"Asian, Japanese, Chinese, Thai",1700,3,3.9,2003,Yes,Yes,delhi,delhi,9879172.0,Tier 1
China Garden,New Delhi,Chinese,1800,3,3.9,496,No,Yes,delhi,delhi,9879172.0,Tier 1
Desi Vibes,New Delhi,"North Indian, Mughlai",1400,3,3.9,841,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Domino's Pizza,New Delhi,"Pizza, Fast Food",700,2,3.7,336,No,No,delhi,delhi,9879172.0,Tier 1
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",600,2,3.8,271,Yes,No,delhi,delhi,9879172.0,Tier 1
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",600,2,3.9,1607,No,No,delhi,delhi,9879172.0,Tier 1
Embassy,New Delhi,"North Indian, Continental, European",2000,4,3.5,706,Yes,Yes,delhi,delhi,9879172.0,Tier 1
FLYP@MTV,New Delhi,"North Indian, Mexican, Italian, Continental",1200,3,3.9,1379,No,Yes,delhi,delhi,9879172.0,Tier 1
GoGourmet,New Delhi,"Healthy Food, Beverages",600,2,3.7,55,Yes,No,delhi,delhi,9879172.0,Tier 1
Haldiram's,New Delhi,"Street Food, North Indian, South Indian, Chinese, Mithai",550,2,3.9,1151,No,No,delhi,delhi,9879172.0,Tier 1
Indian Grill Company,New Delhi,"North Indian, Continental",1300,3,3.7,626,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Jain Chawal Wale,New Delhi,North Indian,250,1,3.8,301,Yes,No,delhi,delhi,9879172.0,Tier 1
Jungle Jamboree,New Delhi,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,3,3.8,1174,No,Yes,delhi,delhi,9879172.0,Tier 1
Kake Da Hotel,New Delhi,North Indian,600,2,3.5,2185,No,No,delhi,delhi,9879172.0,Tier 1
Kebab Xpress,New Delhi,"North Indian, Mughlai",600,2,3.5,321,Yes,No,delhi,delhi,9879172.0,Tier 1
KFC,New Delhi,"American, Fast Food",500,2,3.7,427,Yes,No,delhi,delhi,9879172.0,Tier 1
Khan Chacha,New Delhi,"Mughlai, North Indian",650,2,3.7,1189,Yes,No,delhi,delhi,9879172.0,Tier 1
Kinbuck 2,New Delhi,"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1600,3,3.9,1286,No,No,delhi,delhi,9879172.0,Tier 1
La Americana,New Delhi,"Fast Food, Burger",450,1,3.7,41,Yes,No,delhi,delhi,9879172.0,Tier 1
Lady Baga,New Delhi,"Goan, Seafood",1200,3,3.7,277,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Life Caffe,New Delhi,"Cafe, North Indian, Italian, Japanese, Fast Food",1500,3,3.6,391,No,Yes,delhi,delhi,9879172.0,Tier 1
Lord of the Drinks,New Delhi,"European, Chinese, North Indian, Italian",2200,4,3.9,2589,No,No,delhi,delhi,9879172.0,Tier 1
McDonald's,New Delhi,"Fast Food, Burger",500,2,3.8,388,No,No,delhi,delhi,9879172.0,Tier 1
McDonald's,New Delhi,"Fast Food, Burger",500,2,3.7,108,No,No,delhi,delhi,9879172.0,Tier 1
Moets Arabica,New Delhi,"Arabian, Mexican",400,1,3.5,95,No,No,delhi,delhi,9879172.0,Tier 1
Mother India,New Delhi,"Bengali, South Indian, North Indian, Mughlai",1400,3,3.9,66,No,Yes,delhi,delhi,9879172.0,Tier 1
Mughlai Junction,New Delhi,"North Indian, Mughlai",650,2,3.9,310,Yes,No,delhi,delhi,9879172.0,Tier 1
My Bar Headquarters,New Delhi,"North Indian, Mughlai, Chinese",1000,3,3.7,3010,No,No,delhi,delhi,9879172.0,Tier 1
Nando's,New Delhi,"Portuguese, African",1200,3,3.7,1891,Yes,No,delhi,delhi,9879172.0,Tier 1
Nizam's Kathi Kabab,New Delhi,"North Indian, Fast Food",900,2,3.8,1761,No,No,delhi,delhi,9879172.0,Tier 1
Oh My God,New Delhi,"North Indian, Italian, Chinese, Mexican",1400,3,3.8,367,No,Yes,delhi,delhi,9879172.0,Tier 1
Open House Cafe,New Delhi,"North Indian, Chinese, Mughlai, Italian",1700,3,3.8,1158,No,No,delhi,delhi,9879172.0,Tier 1
Parikrama - The Revolving Restaurant,New Delhi,"North Indian, Chinese, Mughlai",2400,4,3.8,2689,No,No,delhi,delhi,9879172.0,Tier 1
Pind Balluchi,New Delhi,"North Indian, Mughlai",1000,3,3.6,1434,Yes,No,delhi,delhi,9879172.0,Tier 1
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",1000,3,3.5,541,Yes,No,delhi,delhi,9879172.0,Tier 1
Playboy Cafe,New Delhi,"North Indian, Chinese, Continental",1100,3,3.7,140,No,Yes,delhi,delhi,9879172.0,Tier 1
Privee',New Delhi,"Chinese, Italian, Continental, North Indian",5000,4,3.6,61,No,No,delhi,delhi,9879172.0,Tier 1
Punjabi By Nature,New Delhi,"North Indian, Mughlai",1100,3,3.7,1256,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Quote - The Eclectic Bar and Lounge,New Delhi,"Finger Food, European, North Indian",1700,3,3.5,422,No,Yes,delhi,delhi,9879172.0,Tier 1
Rajdhani Thali Restaurant,New Delhi,"Gujarati, Rajasthani",950,2,3.6,1134,Yes,No,delhi,delhi,9879172.0,Tier 1
Route 04,New Delhi,"Continental, American, Tex-Mex, North Indian",1350,3,3.5,1863,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Sbarro,New Delhi,"Pizza, Italian",600,2,3.5,1311,Yes,No,delhi,delhi,9879172.0,Tier 1
Shake Square,New Delhi,"Beverages, Fast Food",400,1,3.7,1333,No,No,delhi,delhi,9879172.0,Tier 1
South Indian Snacks,New Delhi,South Indian,300,1,3.6,50,No,No,delhi,delhi,9879172.0,Tier 1
SSKY Bar & Lounge,New Delhi,"Mughlai, North Indian, Chinese",2800,4,3.5,92,No,Yes,delhi,delhi,9879172.0,Tier 1
Starbucks,New Delhi,Cafe,700,2,3.8,552,No,No,delhi,delhi,9879172.0,Tier 1
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,2,3.5,276,Yes,No,delhi,delhi,9879172.0,Tier 1
Tamasha,New Delhi,"Finger Food, North Indian, Continental, Italian",1600,3,3.7,1801,No,Yes,delhi,delhi,9879172.0,Tier 1
Taste of China,New Delhi,"Chinese, Thai",1200,3,3.5,327,Yes,No,delhi,delhi,9879172.0,Tier 1
Teddy Boy,New Delhi,"North Indian, Continental, Finger Food",1200,3,3.9,1020,No,Yes,delhi,delhi,9879172.0,Tier 1
The Beer Cafe - BIGGIE,New Delhi,"Finger Food, North Indian, Italian",1250,3,3.8,645,No,Yes,delhi,delhi,9879172.0,Tier 1
The Flying Saucer Cafe,New Delhi,"Italian, Mediterranean, Continental, North Indian",1500,3,3.9,143,No,Yes,delhi,delhi,9879172.0,Tier 1
The Junkyard Cafe,New Delhi,"North Indian, Mediterranean, Asian",1500,3,3.9,1545,No,Yes,delhi,delhi,9879172.0,Tier 1
The Luggage Room Kitchen And Bar,New Delhi,"North Indian, Continental, Fast Food",1400,3,3.5,63,No,Yes,delhi,delhi,9879172.0,Tier 1
The Rolling Joint,New Delhi,Fast Food,450,1,3.9,783,Yes,No,delhi,delhi,9879172.0,Tier 1
The Vault Cafe,New Delhi,"North Indian, Mediterranean, Asian, Continental",1600,3,3.9,3413,No,Yes,delhi,delhi,9879172.0,Tier 1
Veda,New Delhi,"North Indian, Mughlai",1600,3,3.9,1087,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Warehouse Cafe,New Delhi,"American, Continental, Italian, North Indian, Asian",1500,3,3.7,4914,No,No,delhi,delhi,9879172.0,Tier 1
Zaffran,New Delhi,"North Indian, Mughlai",1800,3,3.9,908,No,No,delhi,delhi,9879172.0,Tier 1
Zen,New Delhi,"Chinese, Japanese, Italian, Seafood",1500,3,3.5,1027,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Zizo,New Delhi,"Lebanese, Mediterranean, Middle Eastern, Arabian",1600,3,3.9,1071,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Kettle & Kegs,New Delhi,Tea,200,1,0.0,0,Yes,No,delhi,delhi,9879172.0,Tier 1
Ovenstory Pizza,New Delhi,"Pizza, Fast Food",500,2,0.0,0,Yes,No,delhi,delhi,9879172.0,Tier 1
Shree Hari Vaishnav Dhaba,New Delhi,North Indian,200,1,0.0,2,No,No,delhi,delhi,9879172.0,Tier 1
38 Barracks,New Delhi,"North Indian, Italian, Asian, American",1600,3,4.4,840,No,Yes,delhi,delhi,9879172.0,Tier 1
Ambrosia Bliss,New Delhi,"North Indian, Chinese, Italian, Continental",1800,3,4.0,2333,No,Yes,delhi,delhi,9879172.0,Tier 1
Ardor 2.1,New Delhi,"North Indian, Chinese, Continental, Italian",2000,4,4.1,1821,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Barbeque Nation,New Delhi,"North Indian, Chinese",1600,3,4.1,3164,No,No,delhi,delhi,9879172.0,Tier 1
Bikkgane Biryani,New Delhi,"Biryani, North Indian, Hyderabadi",800,2,4.1,740,Yes,No,delhi,delhi,9879172.0,Tier 1
Biryani Blues,New Delhi,"Biryani, Hyderabadi",1000,3,4.0,510,Yes,No,delhi,delhi,9879172.0,Tier 1
Caffe 9,New Delhi,"North Indian, Chinese, Italian, American, Middle Eastern",2000,4,4.2,961,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Excuse Me Boss,New Delhi,"Continental, North Indian, Chinese, Mediterranean",1800,3,4.1,799,No,Yes,delhi,delhi,9879172.0,Tier 1
Fa Yian,New Delhi,Chinese,1200,3,4.0,412,No,Yes,delhi,delhi,9879172.0,Tier 1
Farzi Cafe,New Delhi,Modern Indian,2200,4,4.4,1942,No,No,delhi,delhi,9879172.0,Tier 1
Fuji Japanese Restaurant,New Delhi,Japanese,2000,4,4.0,312,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Healthy Routes,New Delhi,"Healthy Food, Continental, Italian",800,2,4.0,361,Yes,Yes,delhi,delhi,9879172.0,Tier 1
HotMess,New Delhi,"North Indian, Mediterranean, Asian, Fast Food",1900,3,4.3,1129,Yes,Yes,delhi,delhi,9879172.0,Tier 1
House of Commons,New Delhi,"Continental, Mediterranean, Italian, North Indian",1400,3,4.0,510,No,Yes,delhi,delhi,9879172.0,Tier 1
Johnny Rockets,New Delhi,"Fast Food, American, Burger",1000,3,4.0,608,No,Yes,delhi,delhi,9879172.0,Tier 1
Odeon Social,New Delhi,"Continental, American, Asian, North Indian",1600,3,4.1,1959,No,Yes,delhi,delhi,9879172.0,Tier 1
Pebble Street,New Delhi,"Italian, Mexican, Continental, North Indian, Finger Food",1800,3,4.0,817,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Piali - The Curry Bistro,New Delhi,"Asian, North Indian",1200,3,4.1,400,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Saravana Bhavan,New Delhi,South Indian,500,2,4.3,5172,Yes,No,delhi,delhi,9879172.0,Tier 1
Smoke On Water,New Delhi,"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1300,3,4.1,467,No,Yes,delhi,delhi,9879172.0,Tier 1
Starbucks,New Delhi,Cafe,700,2,4.1,2417,No,No,delhi,delhi,9879172.0,Tier 1
The Darzi Bar & Kitchen,New Delhi,"North Indian, European",1500,3,4.1,90,No,Yes,delhi,delhi,9879172.0,Tier 1
The G.T. Road,New Delhi,"North Indian, Afghani, Mughlai",1500,3,4.3,104,No,Yes,delhi,delhi,9879172.0,Tier 1
The Town House Cafe,New Delhi,"Continental, North Indian, Italian, Asian",2100,4,4.0,2252,No,Yes,delhi,delhi,9879172.0,Tier 1
United Coffee House,New Delhi,"North Indian, European, Asian, Mediterranean",2200,4,4.1,1838,No,Yes,delhi,delhi,9879172.0,Tier 1
Unplugged Courtyard,New Delhi,"North Indian, Continental",1600,3,4.0,1758,No,No,delhi,delhi,9879172.0,Tier 1
Wenger's Deli,New Delhi,"Bakery, Desserts, Fast Food",400,1,4.3,1457,No,No,delhi,delhi,9879172.0,Tier 1
Wenger's,New Delhi,"Bakery, Fast Food, Desserts",400,1,4.3,3591,No,No,delhi,delhi,9879172.0,Tier 1
{Niche} - Cafe & Bar,New Delhi,"North Indian, Chinese, Italian, Continental",1500,3,4.1,492,No,Yes,delhi,delhi,9879172.0,Tier 1
Chicken Minar,New Delhi,"North Indian, Chinese",550,2,2.6,77,Yes,No,delhi,delhi,9879172.0,Tier 1
G Lounge,New Delhi,"North Indian, Chinese",1900,3,3.2,113,No,Yes,delhi,delhi,9879172.0,Tier 1
Gyms Kook,New Delhi,"Continental, Italian",1000,3,3.3,140,Yes,No,delhi,delhi,9879172.0,Tier 1
Burger Joint,New Delhi,"Fast Food, Burger",300,1,3.5,164,Yes,No,delhi,delhi,9879172.0,Tier 1
Eleven to Eleven,New Delhi,"North Indian, Chinese",800,2,3.1,106,Yes,No,delhi,delhi,9879172.0,Tier 1
Le Chef,New Delhi,"North Indian, Chinese, South Indian, Fast Food",800,2,3.3,134,Yes,Yes,delhi,delhi,9879172.0,Tier 1
McDonald's,New Delhi,"Fast Food, Burger",500,2,3.4,77,Yes,No,delhi,delhi,9879172.0,Tier 1
The Buffet Wagon,New Delhi,North Indian,950,2,3.3,102,Yes,Yes,delhi,delhi,9879172.0,Tier 1
Haldiram's,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,2,3.5,217,No,No,delhi,delhi,9879172.0,Tier 1
Connexions Bar - Crowne Plaza,New Delhi,Finger Food,2500,4,3.5,59,No,Yes,delhi,delhi,9879172.0,Tier 1
Deli - Crowne Plaza,New Delhi,"Bakery, Desserts, Fast Food",1000,3,3.7,60,No,Yes,delhi,delhi,9879172.0,Tier 1
Lobby Lounge - Crowne Plaza,New Delhi,Finger Food,2000,4,3.2,12,No,Yes,delhi,delhi,9879172.0,Tier 1
Infinity - Crowne Plaza,New Delhi,"Italian, North Indian, Continental",3000,4,3.5,115,No,Yes,delhi,delhi,9879172.0,Tier 1
Fiery Grills,New Delhi,"North Indian, Chinese, Continental",1000,3,3.3,165,No,Yes,delhi,delhi,9879172.0,Tier 1
McDonald's,New Delhi,"Fast Food, Burger",500,2,3.4,41,Yes,No,delhi,delhi,9879172.0,Tier 1
Cafe Desire,New Delhi,"North Indian, Chinese, Finger Food",1000,3,3.5,116,Yes,Yes,delhi,delhi,9879172.0,Tier 1
